,7,-15
7,4,15
74,1,-15
741,6,15
7416,2,-15
74162,0,15
741620,3,-15
7416203,8,15
,7,2
7,4,2
74,8,2
748,6,2
7486,2,2
74862,5,2
748625,3,2
7486253,0,2
74862530,1,2
,2,15
2,4,-15
24,1,15
241,0,-15
2410,8,15
24108,6,-15
241086,5,15
,7,15
7,4,-15
74,2,15
742,0,-15
7420,8,15
74208,6,-15
742086,5,15
,4,-15
4,8,15
48,6,-15
486,2,15
4862,1,-15
48621,5,15
,7,15
7,4,-15
74,6,15
746,0,-15
7460,8,15
,4,-15
4,0,15
40,7,-15
407,1,15
4071,6,-15
40716,2,15
,8,15
8,4,-15
84,5,15
845,6,-15
8456,2,15
,4,-15
4,8,15
48,7,-15
487,1,15
4871,6,-15
48716,2,15
487162,3,-15
4871623,0,15
,6,15
6,4,-15
64,5,15
645,7,-15
6457,1,15
64571,8,-15
645718,0,15
6457180,2,-15
64571802,3,15
,4,-15
4,8,15
48,6,-15
486,2,15
4862,1,-15
48621,5,15
,3,15
3,4,-15
34,1,15
341,7,-15
3417,6,15
34176,8,-15
341768,0,15
,1,15
1,4,-15
14,8,15
148,6,-15
1486,2,15
14862,3,-15
148623,0,15
,0,15
0,4,-15
04,7,15
047,6,-15
0476,2,15
04762,8,-15
047628,1,15
,4,-15
4,6,15
46,7,-15
467,1,15
4671,8,-15
46718,0,15
467180,2,-15
4671802,3,15
,4,-15
4,5,15
45,6,-15
456,2,15
4562,0,-15
45620,8,15
,8,15
8,4,-15
84,1,15
841,6,-15
8416,2,15
84162,5,-15
841625,0,15
,4,15
4,6,-15
46,3,15
463,8,-15
4638,5,15
,1,15
1,4,-15
14,3,15
143,6,-15
1436,2,15
14362,7,-15
143627,0,15
,1,15
1,4,-15
14,0,15
140,7,-15
1407,2,15
,3,15
3,4,-15
34,2,15
342,0,-15
3420,8,15
34208,7,-15
342087,5,15
,5,15
5,4,-15
54,2,15
542,0,-15
5420,8,15
,4,-15
4,2,15
42,0,-15
420,8,15
4208,7,-15
42087,5,15
,3,-15
3,4,15
34,5,-15
345,7,15
3457,1,-15
34571,8,15
345718,6,-15
3457186,0,15
,7,15
7,4,-15
74,2,15
742,0,-15
7420,8,15
74208,6,-15
742086,5,15
,4,-15
4,5,15
45,6,-15
456,2,15
4562,0,-15
45620,8,15
,7,15
7,4,-15
74,2,15
742,0,-15
7420,8,15
74208,6,-15
742086,5,15
,4,15
4,3,-15
43,7,15
437,1,-15
4371,8,15
43718,6,-15
437186,0,15
,2,2
2,4,2
24,0,2
240,1,2
2401,7,2
24017,6,2
240176,3,2
2401763,5,2
24017635,8,2
,4,15
4,3,-15
43,6,15
436,0,-15
4360,2,15
,4,15
4,1,-15
41,6,15
416,2,-15
4162,0,15
41620,3,-15
416203,8,15
,4,-15
4,2,15
42,0,-15
420,8,15
4208,7,-15
42087,5,15
,2,15
2,4,-15
24,0,15
240,1,-15
2401,7,15
24017,6,-15
240176,8,15
2401768,3,-15
24017683,5,15
,4,-15
4,0,15
40,6,-15
406,2,15
4062,7,-15
40627,1,15
,4,-15
4,8,15
48,7,-15
487,1,15
4871,6,-15
48716,2,15
487162,0,-15
4871620,5,15
,4,-15
4,8,15
48,7,-15
487,1,15
4871,6,-15
48716,2,15
487162,3,-15
4871623,0,15
,7,15
7,4,-15
74,8,15
748,6,-15
7486,2,15
74862,3,-15
748623,5,15
,2,15
2,4,-15
